,Hero,Role,Pick_rate,Win_rate,Tie_Rate,On_fire,Rank,Date,Platform
8,Ashe,OFFENSE,3.48,51.01,2.05,8.31,Silver,2020-05-24 11:55:53.912738,PC
9,Sigma,TANK,3.29,49.51,2.30,11.47,Silver,2020-05-24 11:55:53.912738,PC
10,Soldier: 76,OFFENSE,3.21,47.61,1.69,9.98,Silver,2020-05-24 11:55:53.912738,PC
11,Roadhog,TANK,3.11,46.85,1.78,7.78,Silver,2020-05-24 11:55:53.912738,PC
12,Reaper,OFFENSE,2.90,49.35,1.88,14.23,Silver,2020-05-24 11:55:53.912738,PC
13,D.Va,TANK,2.88,47.58,2.23,6.44,Silver,2020-05-24 11:55:53.912738,PC
14,Genji,OFFENSE,2.29,48.74,2.09,10.59,Silver,2020-05-24 11:55:53.912738,PC
15,Orisa,TANK,2.25,49.21,1.97,6.06,Silver,2020-05-24 11:55:53.912738,PC
16,Pharah,OFFENSE,2.20,53.37,1.96,13.32,Silver,2020-05-24 11:55:53.912738,PC
17,Echo,OFFENSE,2.10,48.23,1.85,7.20,Silver,2020-05-24 11:55:53.912738,PC
18,Winston,TANK,2.04,46.44,1.93,5.65,Silver,2020-05-24 11:55:53.912738,PC
19,Baptiste,SUPPORT,1.89,44.51,2.45,10.08,Silver,2020-05-24 11:55:53.912738,PC
20,Wrecking Ball,TANK,1.87,49.78,2.07,2.73,Silver,2020-05-24 11:55:53.912738,PC
21,Brigitte,SUPPORT,1.78,55.37,1.79,8.41,Silver,2020-05-24 11:55:53.912738,PC
22,Doomfist,OFFENSE,1.44,49.24,1.75,7.73,Silver,2020-05-24 11:55:53.912738,PC
23,Zenyatta,SUPPORT,1.36,49.94,1.82,8.87,Silver,2020-05-24 11:55:53.912738,PC
24,Torbjörn,DEFENSE,1.32,56.67,2.63,8.52,Silver,2020-05-24 11:55:53.912738,PC
25,Hanzo,DEFENSE,1.26,46.00,2.32,9.52,Silver,2020-05-24 11:55:53.912738,PC
26,Tracer,OFFENSE,1.08,45.23,1.26,6.54,Silver,2020-05-24 11:55:53.912738,PC
27,Mei,DEFENSE,0.97,46.74,2.48,7.72,Silver,2020-05-24 11:55:53.912738,PC
28,Widowmaker,DEFENSE,0.80,47.39,1.04,5.16,Silver,2020-05-24 11:55:53.912738,PC
29,Symmetra,SUPPORT,0.79,57.53,3.66,9.65,Silver,2020-05-24 11:55:53.912738,PC
30,Bastion,DEFENSE,0.53,54.66,2.87,17.81,Silver,2020-05-24 11:55:53.912738,PC
31,Sombra,OFFENSE,0.44,44.19,1.80,11.07,Silver,2020-05-24 11:55:53.912738,PC
0,Reinhardt,TANK,11.71,51.44,2.65,7.08,Gold,2020-05-24 11:56:43.966592,PC
1,Ana,SUPPORT,10.33,48.61,2.30,9.32,Gold,2020-05-24 11:56:43.966592,PC
2,Moira,SUPPORT,9.53,49.84,2.41,10.42,Gold,2020-05-24 11:56:43.966592,PC
3,Zarya,TANK,7.36,51.99,2.41,11.44,Gold,2020-05-24 11:56:43.966592,PC
4,Mercy,SUPPORT,7.04,51.01,2.43,2.35,Gold,2020-05-24 11:56:43.966592,PC
5,McCree,OFFENSE,4.55,46.47,1.70,8.45,Gold,2020-05-24 11:56:43.966592,PC
6,Lúcio,SUPPORT,4.03,51.58,2.02,12.04,Gold,2020-05-24 11:56:43.966592,PC
7,Ashe,OFFENSE,3.81,52.62,2.25,9.28,Gold,2020-05-24 11:56:43.966592,PC
8,Roadhog,TANK,3.33,48.78,1.87,8.85,Gold,2020-05-24 11:56:43.966592,PC
9,Sigma,TANK,3.05,51.00,2.13,12.78,Gold,2020-05-24 11:56:43.966592,PC
10,Genji,OFFENSE,2.79,49.25,2.00,11.42,Gold,2020-05-24 11:56:43.966592,PC
